sku_id,forecast_week,forecast_units,sku_name,category,unit_price,cost_price
SKU04321,2026-01-11,53.22364748677251,EliteHome Hair Care Pack of 6,Personal Care,961.3,658.32
SKU04596,2026-01-11,12.719050770056015,ValueChoice Eggs Pack of 6,Dairy & Bakery,335.55,242.79
SKU03727,2026-01-11,5.6910421506000795,QuickBite Mobile Accessories 2kg,Electronics & Accessories,1660.93,1291.18
SKU04154,2026-01-11,2.223465977301489,TrueTaste Spices & Seasoning Medium,Grocery,351.77,224.67
SKU00953,2026-01-11,3.9095913269554647,CityFresh Writing Instruments 250ml,Stationery & Office,273.99,178.24
SKU00994,2026-01-11,2.4566921604629117,NovaFresh Home Decor 2L,Home & Kitchen,602.13,395.46
SKU00190,2026-01-11,3.1302441001429484,ZestyCo Writing Instruments 1L,Stationery & Office,145.42,84.74
SKU03292,2026-01-11,3.5438688888678493,SoftTouch Pulses & Lentils Family Pack,Grocery,164.03,112.68
SKU02141,2026-01-11,4.224872855235897,PureLife Bath & Body Family Pack,Personal Care,471.88,351.16
SKU01775,2026-01-11,2.3953070254358093,CityFresh Hair Care 2L,Personal Care,204.15,146.54
SKU00079,2026-01-11,1.3963093332278647,DailyBest Frozen Vegetables 2kg,Frozen Foods,197.9,137.37
SKU04571,2026-01-11,4.403106199278023,EliteHome Ready Meals 250g,Frozen Foods,868.52,532.19
SKU01371,2026-01-11,1.6775967563999818,PureLife Cookware 1L,Home & Kitchen,1277.61,907.68
SKU00942,2026-01-11,3.5517470802812077,FreshFarm Pest Control 1kg,Home Care,172.9,121.42
SKU02858,2026-01-11,2.508613373542673,FamilyChoice Dishwashing 100g,Home Care,90.7,56.34
SKU01420,2026-01-11,5.13296331544293,GoldenHarvest Notebooks 250g,Stationery & Office,213.65,128.04
SKU00285,2026-01-11,1.7906168651871204,NutriPlus Surface Cleaners 1kg,Home Care,505.67,387.2
SKU01045,2026-01-11,1.7600160953922157,PurePlus Frozen Meat Medium,Frozen Foods,451.29,256.12
SKU02930,2026-01-11,0.8521624669092343,TrueTaste Pest Control 100g,Home Care,170.16,133.92
SKU00286,2026-01-11,1.4397787515466511,PurePlus Energy Drinks Medium,Beverages,64.45,51.29
SKU03088,2026-01-11,1.6238436904676201,GoldenHarvest Notebooks Pack of 6,Stationery & Office,223.55,153.21
SKU00845,2026-01-11,4.562368220795808,ZestyCo Frozen Vegetables 1L,Frozen Foods,670.83,490.52
SKU02954,2026-01-11,1.1152675669953682,GoldenHarvest Air Fresheners 2L,Home Care,603.3,405.19
SKU02368,2026-01-11,1.1361315153195866,SunriseFoods Ready Meals 250ml,Frozen Foods,849.39,651.22
SKU00002,2026-01-11,1.6882335956632184,CrispKing Bread Family Pack,Dairy & Bakery,70.38,49.57
SKU04381,2026-01-11,1.6861237682444816,UrbanBite Spices & Seasoning 100g,Grocery,192.07,120.17
SKU04166,2026-01-11,1.0178546003284379,NatureBlend Milk 100g,Dairy & Bakery,263.67,154.85
SKU04508,2026-01-11,1.0622499735098485,FreshFarm Ready Meals 500ml,Frozen Foods,375.55,236.38
SKU04329,2026-01-11,1.5718849466853302,SoftTouch Cookware 2kg,Home & Kitchen,2452.07,1697.55
SKU03840,2026-01-11,1.9943188913001584,HealthFirst Dishwashing 250g,Home Care,255.12,177.23
SKU00264,2026-01-11,1.2289098496753224,PurePlus Energy Drinks 500g,Beverages,242.74,153.51
SKU04350,2026-01-11,0.9277377704610227,NutriPlus Skin Care 250g,Personal Care,394.93,254.76
SKU01189,2026-01-11,2.0228891437147882,PureLife Footwear 500g,Apparel & Footwear,2299.8,1412.47
SKU03907,2026-01-11,1.1961209703471392,QuickBite Home Decor 1L,Home & Kitchen,876.73,624.96
SKU02692,2026-01-11,2.9707519198136456,CleanWave Mobile Accessories 500ml,Electronics & Accessories,2095.03,1551.16
SKU00920,2026-01-11,1.8647685759483796,PremiumSelect Sugar & Salt 100g,Grocery,114.73,87.31
SKU04926,2026-01-11,1.0144982209551403,BasicNeeds Skin Care Pack of 6,Personal Care,458.92,266.85
SKU02747,2026-01-11,1.0345970734979766,NovaFresh OTC Medicine 250ml,Health & Wellness,561.26,443.77
SKU04913,2026-01-11,1.0235325185673376,TrueTaste OTC Medicine 2kg,Health & Wellness,466.91,344.29
SKU01037,2026-01-11,0.7833355663194909,EliteHome Bottled Water Large,Beverages,178.07,135.2
SKU04551,2026-01-11,1.308696539395112,DailyBest Cookware Small,Home & Kitchen,2498.23,1452.98
SKU00062,2026-01-11,0.9457190449351593,EverydayPlus Mobile Accessories Family Pack,Electronics & Accessories,499.45,291.09
SKU00893,2026-01-11,1.0799891091778602,FreshFarm Hair Care 2L,Personal Care,690.66,488.07
SKU02740,2026-01-11,0.7473537273302987,CrispKing Chips & Crisps Small,Snacks & Confectionery,104.22,65.2
SKU00376,2026-01-11,1.8081992488417618,UrbanBite Milk 1kg,Dairy & Bakery,207.45,152.54
SKU03030,2026-01-11,0.9419534925780153,MetroBrand Chips & Crisps 500ml,Snacks & Confectionery,108.63,63.46
