sku_id,stock_on_hand,reorder_point,safety_stock,avg_weekly_demand,forecast_6w_units,sku_name,category,unit_price,cost_price,weeks_cover,stockout_risk,overstock_ratio,overstock_risk,action,sales_at_risk,capital_locked
SKU00002,0,1582,573,2.375,14.060968310406267,CrispKing Bread Family Pack,Dairy & Bakery,70.38,49.57,0.0,1.0,0.0,0.0,Reorder Now,668.6099999999999,0.0
SKU00020,0,1358,498,1.125,5.977490720986331,SmartBuy Rice & Grains 2L,Grocery,109.5,69.58,0.0,1.0,0.0,0.0,Reorder Now,492.75,0.0
SKU00169,0,1104,377,2.25,9.914030282242686,DailyBest Office Supplies 500ml,Stationery & Office,95.37,60.41,0.0,1.0,0.0,0.0,Reorder Now,858.33,0.0
SKU00190,0,1446,495,4.0,19.980089546438876,ZestyCo Writing Instruments 1L,Stationery & Office,145.42,84.74,0.0,1.0,0.0,0.0,Reorder Now,2326.72,0.0
SKU00285,0,1342,491,2.75,13.358502060894272,NutriPlus Surface Cleaners 1kg,Home Care,505.67,387.2,0.0,1.0,0.0,0.0,Reorder Now,5562.37,0.0
SKU00291,0,1300,462,1.0,7.5869140625,SunriseFoods Writing Instruments 500ml,Stationery & Office,190.44,150.55,0.0,1.0,0.0,0.0,Reorder Now,761.76,0.0
SKU00363,0,1341,438,1.125,10.486328125,CityFresh Home Decor 2L,Home & Kitchen,1103.75,699.49,0.0,1.0,0.0,0.0,Reorder Now,4966.875,0.0
SKU00416,0,1214,449,0.375,0.0,CityFresh Namkeen 1L,Snacks & Confectionery,75.12,48.29,0.0,1.0,0.0,0.0,Reorder Now,112.68,0.0
SKU00445,0,1146,448,0.5,4.6328125,QuickBite Yogurt Large,Dairy & Bakery,87.15,60.84,0.0,1.0,0.0,0.0,Reorder Now,174.3,0.0
SKU00484,0,1408,469,0.5,5.587946356204835,PurePlus Hair Care 2L,Personal Care,179.04,105.25,0.0,1.0,0.0,0.0,Reorder Now,358.08,0.0
SKU00657,0,29,14,0.25,3.59814453125,TrueTaste Frozen Meat 250ml,Frozen Foods,520.54,411.25,0.0,1.0,0.0,0.0,Reorder Now,520.54,0.0
SKU00692,0,1261,412,0.625,5.926571444300255,SoftTouch OTC Medicine Pack of 6,Health & Wellness,235.52,187.94,0.0,1.0,0.0,0.0,Reorder Now,588.8000000000001,0.0
SKU00694,0,28,10,0.5,0.0,SunriseFoods Rice & Grains 250ml,Grocery,179.71,115.0,0.0,1.0,0.0,0.0,Reorder Now,359.42,0.0
SKU00728,0,1199,396,0.25,0.0,NatureBlend Mobile Accessories 1kg,Electronics & Accessories,3555.73,2593.79,0.0,1.0,0.0,0.0,Reorder Now,3555.73,0.0
